country,population,gdp_pc,gender_gap,soccer_m,soccer_w,cricket_m,cricket_w,rugby_m,rugby_w,basketball_m,basketball_w,volleyball_m,volleyball_w
Brazil,213421037,23310,0.72,6,6,87,36,35,25,10,9,3,2
Japan,122950000,54815,0.666,16,8,44,40,12,11,22,11,7,5
Germany,83497147,73553,0.803,12,3,35,34,31,22,2,12,11,10
France,69081996,66061,0.765,3,7,53,53,4,4,4,3,4,13
Thailand,65826149,26359,0.728,113,53,57,12,73,56,94,58,59,18
Italy,58956824,63126,0.704,19,13,26,23,9,9,15,14,2,1
Spain,49442844,56888,0.797,1,1,30,33,15,14,7,6,36,30
Canada,41575585,65500,0.767,25,10,19,32,25,2,5,7,10,12
Cameroon,29442327,5760,0.697,62,70,86,67,106,38,57,35,50,45
Romania,19036031,48847,0.697,56,52,54,54,22,44,64,63,24,24
Netherlands,18131238,84035,0.756,8,11,13,14,27,17,53,56,20,8
Sweden,10608003,73069,0.817,52,5,49,38,34,21,41,28,42,26
Austria,9219113,74852,0.735,23,19,40,56,72,39,66,82,52,39
Switzerland,9104063,97659,0.785,13,25,47,27,28,58,61,49,31,32
Serbia,6567783,32742,0.774,31,33,84,62,68,66,3,10,13,9
China,1404890000,29191,0.686,98,17,91,45,92,27,27,4,28,6
United States,341784857,89599,0.756,34,2,18,24,16,8,1,1,5,7
Bulgaria,6437360,42477,0.706,89,95,88,77,70,46,54,61,9,25
Finland,5656900,66512,0.879,81,23,48,75,75,35,17,64,19,34
Croatia,3866233,51453,0.728,10,61,102,55,48,32,34,40,39,36
Mexico,130760049,25771,0.776,20,29,82,0,38,34,30,30,32,19
Philippines,114123600,12920,0.781,162,41,55,0,53,63,36,39,80,46
Belgium,11924322,75882,0.773,21,18,45,0,21,24,35,5,15,14
Portugal,10749635,49753,0.767,7,22,43,0,19,23,46,38,23,41
India,1417492000,12101,0.644,170,67,1,3,86,55,75,60,58,0
Kenya,53330978,7556,0.689,118,133,33,29,36,20,100,78,0,21
Argentina,46387098,31311,0.762,2,30,46,57,6,0,8,27,8,17
Australia,27614400,71431,0.792,30,15,2,1,7,7,6,2,33,0
Denmark,6027601,84763,0.791,18,14,41,46,57,45,59,59,41,0
Norway,5618354,106694,0.863,11,12,42,63,100,49,80,68,62,0
New Zealand,5334200,55781,0.827,67,35,4,4,2,3,25,21,82,0
Luxembourg,681973,152395,0.745,103,108,79,66,55,64,88,54,65,0
Ireland,5458600,147878,0.801,49,27,12,9,5,5,82,83,86,0
Greece,10372335,44985,0.709,32,59,101,52,112,0,13,26,25,29
Colombia,53057212,22396,0.758,5,20,0,0,41,28,55,19,45,22
Kazakhstan,20495975,44778,0.698,99,113,0,0,58,19,77,67,70,35
Indonesia,284438782,17634,0.692,124,105,62,20,110,0,92,57,51,0
Uganda,45905417,3904,0.707,104,148,21,17,50,29,90,53,0,0
Malaysia,34281100,43665,0.681,132,91,25,28,54,42,114,76,0,0
Zimbabwe,17073087,5407,0.747,119,129,11,16,24,53,148,99,0,0