year,white_player,white_rating,white_rank,black_player,black_rating,black_rank,round,result
2024,Abasov,2632,114,Nepomniachtchi,2758,7,1,Draw
2024,Caruana,2803,2,Nakamura,2789,3,1,Draw
2024,Dommaraju,2743,16,Gujrathi,2727,25,1,Draw
2024,Firouzja,2760,6,Praggnanandhaa,2747,14,1,Draw
2024,Caruana,2803,2,Abasov,2632,114,2,White
2024,Nakamura,2789,3,Gujrathi,2727,25,2,Black
2024,Nepomniachtchi,2758,7,Firouzja,2760,6,2,White
2024,Praggnanandhaa,2747,14,Dommaraju,2743,16,2,Black
2024,Abasov,2632,114,Nakamura,2789,3,3,Draw
2024,Dommaraju,2743,16,Nepomniachtchi,2758,7,3,Draw
2024,Firouzja,2760,6,Caruana,2803,2,3,Draw
2024,Gujrathi,2727,25,Praggnanandhaa,2747,14,3,Black
2024,Abasov,2632,114,Firouzja,2760,6,4,Draw
2024,Caruana,2803,2,Dommaraju,2743,16,4,Draw
2024,Nakamura,2789,3,Praggnanandhaa,2747,14,4,Draw
2024,Nepomniachtchi,2758,7,Gujrathi,2727,25,4,White
2024,Dommaraju,2743,16,Abasov,2632,114,5,White
2024,Firouzja,2760,6,Nakamura,2789,3,5,Black
2024,Gujrathi,2727,25,Caruana,2803,2,5,Draw
2024,Praggnanandhaa,2747,14,Nepomniachtchi,2758,7,5,Draw
2024,Dommaraju,2743,16,Nakamura,2789,3,6,Draw
2024,Gujrathi,2727,25,Firouzja,2760,6,6,White
2024,Nepomniachtchi,2758,7,Caruana,2803,2,6,Draw
2024,Praggnanandhaa,2747,14,Abasov,2632,114,6,White
2024,Abasov,2632,114,Gujrathi,2727,25,7,Draw
2024,Caruana,2803,2,Praggnanandhaa,2747,14,7,Draw
2024,Firouzja,2760,6,Dommaraju,2743,16,7,White
2024,Nakamura,2789,3,Nepomniachtchi,2758,7,7,Draw
2024,Gujrathi,2727,25,Dommaraju,2743,16,8,Black
2024,Nakamura,2789,3,Caruana,2803,2,8,White
2024,Nepomniachtchi,2758,7,Abasov,2632,114,8,Draw
2024,Praggnanandhaa,2747,14,Firouzja,2760,6,8,Draw
2024,Abasov,2632,114,Caruana,2803,2,9,Draw
2024,Dommaraju,2743,16,Praggnanandhaa,2747,14,9,Draw
2024,Firouzja,2760,6,Nepomniachtchi,2758,7,9,Draw
2024,Gujrathi,2727,25,Nakamura,2789,3,9,White
2024,Caruana,2803,2,Firouzja,2760,6,10,White
2024,Nakamura,2789,3,Abasov,2632,114,10,White
2024,Nepomniachtchi,2758,7,Dommaraju,2743,16,10,Draw
2024,Praggnanandhaa,2747,14,Gujrathi,2727,25,10,Draw
2024,Dommaraju,2743,16,Caruana,2803,2,11,Draw
2024,Firouzja,2760,6,Abasov,2632,114,11,White
2024,Gujrathi,2727,25,Nepomniachtchi,2758,7,11,Black
2024,Praggnanandhaa,2747,14,Nakamura,2789,3,11,Black
2024,Abasov,2632,114,Dommaraju,2743,16,12,Black
2024,Caruana,2803,2,Gujrathi,2727,25,12,White
2024,Nakamura,2789,3,Firouzja,2760,6,12,White
2024,Nepomniachtchi,2758,7,Praggnanandhaa,2747,14,12,Draw
2024,Dommaraju,2743,16,Firouzja,2760,6,13,White
2024,Gujrathi,2727,25,Abasov,2632,114,13,Draw
2024,Nepomniachtchi,2758,7,Nakamura,2789,3,13,Draw
2024,Praggnanandhaa,2747,14,Caruana,2803,2,13,Black
2024,Abasov,2632,114,Praggnanandhaa,2747,14,14,Black
2024,Caruana,2803,2,Nepomniachtchi,2758,7,14,Draw
2024,Firouzja,2760,6,Gujrathi,2727,25,14,Draw
2024,Nakamura,2789,3,Dommaraju,2743,16,14,Draw
2022,Caruana,2783,4,Nakamura,2760,11,1,White
2022,Duda,2750,16,Rapport,2764,8,1,Draw
2022,Liren,2806,2,Nepomniachtchi,2766,7,1,Black
2022,Radjabov,2753,13,Firouzja,2793,3,1,Draw
2022,Duda,2750,16,Liren,2806,2,2,Draw
2022,Nakamura,2760,11,Radjabov,2753,13,2,White
2022,Nepomniachtchi,2766,7,Caruana,2783,4,2,Draw
2022,Rapport,2764,8,Firouzja,2793,3,2,Draw
2022,Caruana,2783,4,Duda,2750,16,3,Draw
2022,Firouzja,2793,3,Nakamura,2760,11,3,Draw
2022,Liren,2806,2,Rapport,2764,8,3,Draw
2022,Radjabov,2753,13,Nepomniachtchi,2766,7,3,Draw
2022,Duda,2750,16,Radjabov,2753,13,4,Draw
2022,Liren,2806,2,Caruana,2783,4,4,Draw
2022,Nepomniachtchi,2766,7,Firouzja,2793,3,4,White
2022,Rapport,2764,8,Nakamura,2760,11,4,Draw
2022,Caruana,2783,4,Rapport,2764,8,5,Draw
2022,Firouzja,2793,3,Duda,2750,16,5,Draw
2022,Nakamura,2760,11,Nepomniachtchi,2766,7,5,Draw
2022,Radjabov,2753,13,Liren,2806,2,5,Draw
2022,Firouzja,2793,3,Caruana,2783,4,6,Black
2022,Nakamura,2760,11,Liren,2806,2,6,Draw
2022,Nepomniachtchi,2766,7,Duda,2750,16,6,White
2022,Radjabov,2753,13,Rapport,2764,8,6,Draw
2022,Caruana,2783,4,Radjabov,2753,13,7,White
2022,Duda,2750,16,Nakamura,2760,11,7,Draw
2022,Liren,2806,2,Firouzja,2793,3,7,Draw
2022,Rapport,2764,8,Nepomniachtchi,2766,7,7,Black
2022,Firouzja,2793,3,Radjabov,2753,13,8,Draw
2022,Nakamura,2760,11,Caruana,2783,4,8,White
2022,Nepomniachtchi,2766,7,Liren,2806,2,8,Draw
2022,Rapport,2764,8,Duda,2750,16,8,White
2022,Caruana,2783,4,Nepomniachtchi,2766,7,9,Draw
2022,Firouzja,2793,3,Rapport,2764,8,9,White
2022,Liren,2806,2,Duda,2750,16,9,White
2022,Radjabov,2753,13,Nakamura,2760,11,9,White
2022,Duda,2750,16,Caruana,2783,4,10,White
2022,Nakamura,2760,11,Firouzja,2793,3,10,White
2022,Nepomniachtchi,2766,7,Radjabov,2753,13,10,Draw
2022,Rapport,2764,8,Liren,2806,2,10,Black
2022,Caruana,2783,4,Liren,2806,2,11,Black
2022,Firouzja,2793,3,Nepomniachtchi,2766,7,11,Black
2022,Nakamura,2760,11,Rapport,2764,8,11,Draw
2022,Radjabov,2753,13,Duda,2750,16,11,Draw
2022,Duda,2750,16,Firouzja,2793,3,12,Draw
2022,Liren,2806,2,Radjabov,2753,13,12,Black
2022,Nepomniachtchi,2766,7,Nakamura,2760,11,12,Draw
2022,Rapport,2764,8,Caruana,2783,4,12,Draw
2022,Firouzja,2793,3,Liren,2806,2,13,Draw
2022,Nakamura,2760,11,Duda,2750,16,13,White
2022,Nepomniachtchi,2766,7,Rapport,2764,8,13,Draw
2022,Radjabov,2753,13,Caruana,2783,4,13,Draw
2022,Caruana,2783,4,Firouzja,2793,3,14,Black
2022,Duda,2750,16,Nepomniachtchi,2766,7,14,Draw
2022,Liren,2806,2,Nakamura,2760,11,14,White
2022,Rapport,2764,8,Radjabov,2753,13,14,Black
2020,Giri,2763,11,Nepomniachtchi,2774,5,1,Black
2020,Grischuk,2777,4,Alekseenko,2698,39,1,Draw
2020,Liren,2805,3,Hao,2762,12,1,Black
2020,Vachier-Lagrave,2767,8,Caruana,2842,2,1,Draw
2020,Caruana,2842,2,Alekseenko,2698,39,2,White
2020,Hao,2762,12,Giri,2763,11,2,Draw
2020,Nepomniachtchi,2774,5,Grischuk,2777,4,2,Draw
2020,Vachier-Lagrave,2767,8,Liren,2805,3,2,White
2020,Alekseenko,2698,39,Nepomniachtchi,2774,5,3,Draw
2020,Giri,2763,11,Vachier-Lagrave,2767,8,3,Draw
2020,Grischuk,2777,4,Hao,2762,12,3,Draw
2020,Liren,2805,3,Caruana,2842,2,3,White
2020,Caruana,2842,2,Nepomniachtchi,2774,5,4,Draw
2020,Hao,2762,12,Alekseenko,2698,39,4,Draw
2020,Liren,2805,3,Giri,2763,11,4,Draw
2020,Vachier-Lagrave,2767,8,Grischuk,2777,4,4,Draw
2020,Alekseenko,2698,39,Vachier-Lagrave,2767,8,5,Draw
2020,Giri,2763,11,Caruana,2842,2,5,Draw
2020,Grischuk,2777,4,Liren,2805,3,5,Draw
2020,Nepomniachtchi,2774,5,Hao,2762,12,5,White
2020,Alekseenko,2698,39,Giri,2763,11,6,Black
2020,Grischuk,2777,4,Caruana,2842,2,6,Draw
2020,Hao,2762,12,Vachier-Lagrave,2767,8,6,Draw
2020,Nepomniachtchi,2774,5,Liren,2805,3,6,White
2020,Caruana,2842,2,Hao,2762,12,7,Draw
2020,Giri,2763,11,Grischuk,2777,4,7,Draw
2020,Liren,2805,3,Alekseenko,2698,39,7,Draw
2020,Vachier-Lagrave,2767,8,Nepomniachtchi,2774,5,7,White
2020,Alekseenko,2698,39,Grischuk,2777,4,8,White
2020,Caruana,2842,2,Vachier-Lagrave,2767,8,8,White
2020,Hao,2762,12,Liren,2805,3,8,Draw
2020,Nepomniachtchi,2774,5,Giri,2763,11,8,Draw
2020,Alekseenko,2698,39,Caruana,2842,2,9,Draw
2020,Giri,2763,11,Hao,2762,12,9,White
2020,Grischuk,2777,4,Nepomniachtchi,2774,5,9,Draw
2020,Liren,2805,3,Vachier-Lagrave,2767,8,9,Draw
2020,Caruana,2842,2,Liren,2805,3,10,Draw
2020,Hao,2762,12,Grischuk,2777,4,10,Draw
2020,Nepomniachtchi,2774,5,Alekseenko,2698,39,10,White
2020,Vachier-Lagrave,2767,8,Giri,2763,11,10,Draw
2020,Alekseenko,2698,39,Hao,2762,12,11,Draw
2020,Giri,2763,11,Liren,2805,3,11,White
2020,Grischuk,2777,4,Vachier-Lagrave,2767,8,11,White
2020,Nepomniachtchi,2774,5,Caruana,2842,2,11,Draw
2020,Caruana,2842,2,Giri,2763,11,12,Black
2020,Hao,2762,12,Nepomniachtchi,2774,5,12,Black
2020,Liren,2805,3,Grischuk,2777,4,12,White
2020,Vachier-Lagrave,2767,8,Alekseenko,2698,39,12,White
2020,Alekseenko,2698,39,Liren,2805,3,13,Black
2020,Grischuk,2777,4,Giri,2763,11,13,White
2020,Hao,2762,12,Caruana,2842,2,13,Black
2020,Nepomniachtchi,2774,5,Vachier-Lagrave,2767,8,13,Draw
2020,Caruana,2842,2,Grischuk,2777,4,14,Draw
2020,Giri,2763,11,Alekseenko,2698,39,14,Black
2020,Liren,2805,3,Nepomniachtchi,2774,5,14,White
2020,Vachier-Lagrave,2767,8,Hao,2762,12,14,White
2018,Aronian,2794,5,Liren,2769,11,1,Draw
2018,Caruana,2784,8,So,2799,4,1,White
2018,Karjakin,2763,13,Mamedyarov,2809,2,1,Black
2018,Kramnik,2800,3,Grischuk,2767,12,1,White
2018,Grischuk,2767,12,So,2799,4,2,White
2018,Kramnik,2800,3,Karjakin,2763,13,2,Draw
2018,Liren,2769,11,Caruana,2784,8,2,Draw
2018,Mamedyarov,2809,2,Aronian,2794,5,2,Draw
2018,Aronian,2794,5,Kramnik,2800,3,3,Black
2018,Caruana,2784,8,Mamedyarov,2809,2,3,Draw
2018,Karjakin,2763,13,Grischuk,2767,12,3,Draw
2018,So,2799,4,Liren,2769,11,3,Draw
2018,Grischuk,2767,12,Liren,2769,11,4,Draw
2018,Karjakin,2763,13,Aronian,2794,5,4,Black
2018,Kramnik,2800,3,Caruana,2784,8,4,Black
2018,Mamedyarov,2809,2,So,2799,4,4,Draw
2018,Aronian,2794,5,Grischuk,2767,12,5,Draw
2018,Caruana,2784,8,Karjakin,2763,13,5,Draw
2018,Liren,2769,11,Mamedyarov,2809,2,5,Draw
2018,So,2799,4,Kramnik,2800,3,5,Draw
2018,Caruana,2784,8,Grischuk,2767,12,6,Draw
2018,Liren,2769,11,Karjakin,2763,13,6,Draw
2018,Mamedyarov,2809,2,Kramnik,2800,3,6,White
2018,So,2799,4,Aronian,2794,5,6,White
2018,Aronian,2794,5,Caruana,2784,8,7,Black
2018,Grischuk,2767,12,Mamedyarov,2809,2,7,Draw
2018,Karjakin,2763,13,So,2799,4,7,White
2018,Kramnik,2800,3,Liren,2769,11,7,Draw
2018,Grischuk,2767,12,Kramnik,2800,3,8,White
2018,Liren,2769,11,Aronian,2794,5,8,Draw
2018,Mamedyarov,2809,2,Karjakin,2763,13,8,Draw
2018,So,2799,4,Caruana,2784,8,8,Draw
2018,Aronian,2794,5,Mamedyarov,2809,2,9,Draw
2018,Caruana,2784,8,Liren,2769,11,9,Draw
2018,Karjakin,2763,13,Kramnik,2800,3,9,White
2018,So,2799,4,Grischuk,2767,12,9,Draw
2018,Grischuk,2767,12,Karjakin,2763,13,10,Draw
2018,Kramnik,2800,3,Aronian,2794,5,10,White
2018,Liren,2769,11,So,2799,4,10,Draw
2018,Mamedyarov,2809,2,Caruana,2784,8,10,Draw
2018,Aronian,2794,5,Karjakin,2763,13,11,Black
2018,Caruana,2784,8,Kramnik,2800,3,11,Draw
2018,Liren,2769,11,Grischuk,2767,12,11,Draw
2018,So,2799,4,Mamedyarov,2809,2,11,Draw
2018,Grischuk,2767,12,Aronian,2794,5,12,Draw
2018,Karjakin,2763,13,Caruana,2784,8,12,White
2018,Kramnik,2800,3,So,2799,4,12,Draw
2018,Mamedyarov,2809,2,Liren,2769,11,12,Black
2018,Caruana,2784,8,Aronian,2794,5,13,White
2018,Liren,2769,11,Kramnik,2800,3,13,Draw
2018,Mamedyarov,2809,2,Grischuk,2767,12,13,White
2018,So,2799,4,Karjakin,2763,13,13,Draw
2018,Aronian,2794,5,So,2799,4,14,Draw
2018,Grischuk,2767,12,Caruana,2784,8,14,Black
2018,Karjakin,2763,13,Liren,2769,11,14,Draw
2018,Kramnik,2800,3,Mamedyarov,2809,2,14,Draw
2016,Anand,2762,12,Topalov,2780,8,1,White
2016,Giri,2793,4,Aronian,2786,7,1,Draw
2016,Karjakin,2760,13,Svidler,2757,16,1,Draw
2016,Nakamura,2790,6,Caruana,2794,3,1,Draw
2016,Aronian,2786,7,Anand,2762,12,2,Draw
2016,Caruana,2794,3,Giri,2793,4,2,Draw
2016,Karjakin,2760,13,Nakamura,2790,6,2,White
2016,Svidler,2757,16,Topalov,2780,8,2,Draw
2016,Anand,2762,12,Caruana,2794,3,3,Draw
2016,Giri,2793,4,Karjakin,2760,13,3,Draw
2016,Nakamura,2790,6,Svidler,2757,16,3,Draw
2016,Topalov,2780,8,Aronian,2786,7,3,Black
2016,Caruana,2794,3,Topalov,2780,8,4,Draw
2016,Karjakin,2760,13,Anand,2762,12,4,White
2016,Nakamura,2790,6,Giri,2793,4,4,Draw
2016,Svidler,2757,16,Aronian,2786,7,4,Draw
2016,Anand,2762,12,Nakamura,2790,6,5,Draw
2016,Aronian,2786,7,Caruana,2794,3,5,Draw
2016,Giri,2793,4,Svidler,2757,16,5,Draw
2016,Topalov,2780,8,Karjakin,2760,13,5,Draw
2016,Anand,2762,12,Svidler,2757,16,6,White
2016,Aronian,2786,7,Nakamura,2790,6,6,White
2016,Caruana,2794,3,Karjakin,2760,13,6,Draw
2016,Topalov,2780,8,Giri,2793,4,6,Draw
2016,Giri,2793,4,Anand,2762,12,7,Draw
2016,Karjakin,2760,13,Aronian,2786,7,7,Draw
2016,Nakamura,2790,6,Topalov,2780,8,7,White
2016,Svidler,2757,16,Caruana,2794,3,7,Draw
2016,Aronian,2786,7,Giri,2793,4,8,Draw
2016,Caruana,2794,3,Nakamura,2790,6,8,White
2016,Svidler,2757,16,Karjakin,2760,13,8,Draw
2016,Topalov,2780,8,Anand,2762,12,8,Draw
2016,Anand,2762,12,Aronian,2786,7,9,White
2016,Giri,2793,4,Caruana,2794,3,9,Draw
2016,Nakamura,2790,6,Karjakin,2760,13,9,Draw
2016,Topalov,2780,8,Svidler,2757,16,9,Draw
2016,Aronian,2786,7,Topalov,2780,8,10,Draw
2016,Caruana,2794,3,Anand,2762,12,10,White
2016,Karjakin,2760,13,Giri,2793,4,10,Draw
2016,Svidler,2757,16,Nakamura,2790,6,10,Draw
2016,Anand,2762,12,Karjakin,2760,13,11,White
2016,Aronian,2786,7,Svidler,2757,16,11,Black
2016,Giri,2793,4,Nakamura,2790,6,11,Draw
2016,Topalov,2780,8,Caruana,2794,3,11,Draw
2016,Caruana,2794,3,Aronian,2786,7,12,Draw
2016,Karjakin,2760,13,Topalov,2780,8,12,White
2016,Nakamura,2790,6,Anand,2762,12,12,White
2016,Svidler,2757,16,Giri,2793,4,12,Draw
2016,Anand,2762,12,Giri,2793,4,13,Draw
2016,Aronian,2786,7,Karjakin,2760,13,13,Draw
2016,Caruana,2794,3,Svidler,2757,16,13,Draw
2016,Topalov,2780,8,Nakamura,2790,6,13,Black
2016,Giri,2793,4,Topalov,2780,8,14,Draw
2016,Karjakin,2760,13,Caruana,2794,3,14,White
2016,Nakamura,2790,6,Aronian,2786,7,14,Draw
2016,Svidler,2757,16,Anand,2762,12,14,Draw
2014,Anand,2770,8,Aronian,2830,2,1,White
2014,Andreikin,2709,42,Kramnik,2787,3,1,Draw
2014,Karjakin,2766,9,Svidler,2758,11,1,Draw
2014,Mamedyarov,2757,13,Topalov,2785,4,1,Draw
2014,Aronian,2830,2,Mamedyarov,2757,13,2,White
2014,Kramnik,2787,3,Karjakin,2766,9,2,White
2014,Svidler,2758,11,Andreikin,2709,42,2,White
2014,Topalov,2785,4,Anand,2770,8,2,Draw
2014,Andreikin,2709,42,Karjakin,2766,9,3,Draw
2014,Mamedyarov,2757,13,Anand,2770,8,3,Black
2014,Svidler,2758,11,Kramnik,2787,3,3,Draw
2014,Topalov,2785,4,Aronian,2830,2,3,Draw
2014,Anand,2770,8,Kramnik,2787,3,4,Draw
2014,Aronian,2830,2,Svidler,2758,11,4,White
2014,Karjakin,2766,9,Topalov,2785,4,4,Draw
2014,Mamedyarov,2757,13,Andreikin,2709,42,4,White
2014,Andreikin,2709,42,Anand,2770,8,5,Draw
2014,Karjakin,2766,9,Mamedyarov,2757,13,5,Draw
2014,Kramnik,2787,3,Aronian,2830,2,5,Draw
2014,Svidler,2758,11,Topalov,2785,4,5,White
2014,Anand,2770,8,Karjakin,2766,9,6,Draw
2014,Aronian,2830,2,Andreikin,2709,42,6,Draw
2014,Mamedyarov,2757,13,Svidler,2758,11,6,White
2014,Topalov,2785,4,Kramnik,2787,3,6,White
2014,Andreikin,2709,42,Topalov,2785,4,7,White
2014,Karjakin,2766,9,Aronian,2830,2,7,Black
2014,Kramnik,2787,3,Mamedyarov,2757,13,7,White
2014,Svidler,2758,11,Anand,2770,8,7,Draw
2014,Aronian,2830,2,Anand,2770,8,8,Draw
2014,Kramnik,2787,3,Andreikin,2709,42,8,Draw
2014,Svidler,2758,11,Karjakin,2766,9,8,Black
2014,Topalov,2785,4,Mamedyarov,2757,13,8,Draw
2014,Anand,2770,8,Topalov,2785,4,9,White
2014,Andreikin,2709,42,Svidler,2758,11,9,Draw
2014,Karjakin,2766,9,Kramnik,2787,3,9,White
2014,Mamedyarov,2757,13,Aronian,2830,2,9,White
2014,Anand,2770,8,Mamedyarov,2757,13,10,Draw
2014,Aronian,2830,2,Topalov,2785,4,10,Draw
2014,Karjakin,2766,9,Andreikin,2709,42,10,Draw
2014,Kramnik,2787,3,Svidler,2758,11,10,Black
2014,Andreikin,2709,42,Mamedyarov,2757,13,11,Draw
2014,Kramnik,2787,3,Anand,2770,8,11,Draw
2014,Svidler,2758,11,Aronian,2830,2,11,Draw
2014,Topalov,2785,4,Karjakin,2766,9,11,Draw
2014,Anand,2770,8,Andreikin,2709,42,12,Draw
2014,Aronian,2830,2,Kramnik,2787,3,12,Draw
2014,Mamedyarov,2757,13,Karjakin,2766,9,12,Draw
2014,Topalov,2785,4,Svidler,2758,11,12,White
2014,Andreikin,2709,42,Aronian,2830,2,13,White
2014,Karjakin,2766,9,Anand,2770,8,13,Draw
2014,Kramnik,2787,3,Topalov,2785,4,13,White
2014,Svidler,2758,11,Mamedyarov,2757,13,13,Draw
2014,Anand,2770,8,Svidler,2758,11,14,Draw
2014,Aronian,2830,2,Karjakin,2766,9,14,Black
2014,Mamedyarov,2757,13,Kramnik,2787,3,14,Draw
2014,Topalov,2785,4,Andreikin,2709,42,14,Draw
2013,Aronian,2809,3,Carlsen,2872,1,1,Draw
2013,Gelfand,2740,18,Radjabov,2793,4,1,Draw
2013,Ivanchuk,2757,13,Grischuk,2764,10,1,Draw
2013,Svidler,2747,14,Kramnik,2810,2,1,Draw
2013,Aronian,2809,3,Gelfand,2740,18,2,White
2013,Carlsen,2872,1,Kramnik,2810,2,2,Draw
2013,Grischuk,2764,10,Svidler,2747,14,2,Draw
2013,Radjabov,2793,4,Ivanchuk,2757,13,2,White
2013,Gelfand,2740,18,Carlsen,2872,1,3,Black
2013,Ivanchuk,2757,13,Aronian,2809,3,3,Black
2013,Kramnik,2810,2,Grischuk,2764,10,3,Draw
2013,Svidler,2747,14,Radjabov,2793,4,3,White
2013,Aronian,2809,3,Svidler,2747,14,4,Draw
2013,Carlsen,2872,1,Grischuk,2764,10,4,White
2013,Gelfand,2740,18,Ivanchuk,2757,13,4,Draw
2013,Radjabov,2793,4,Kramnik,2810,2,4,Draw
2013,Grischuk,2764,10,Radjabov,2793,4,5,Draw
2013,Ivanchuk,2757,13,Carlsen,2872,1,5,Draw
2013,Kramnik,2810,2,Aronian,2809,3,5,Draw
2013,Svidler,2747,14,Gelfand,2740,18,5,Draw
2013,Grischuk,2764,10,Gelfand,2740,18,6,Draw
2013,Kramnik,2810,2,Ivanchuk,2757,13,6,Draw
2013,Radjabov,2793,4,Aronian,2809,3,6,Black
2013,Svidler,2747,14,Carlsen,2872,1,6,Black
2013,Aronian,2809,3,Grischuk,2764,10,7,Draw
2013,Carlsen,2872,1,Radjabov,2793,4,7,Draw
2013,Gelfand,2740,18,Kramnik,2810,2,7,Draw
2013,Ivanchuk,2757,13,Svidler,2747,14,7,Draw
2013,Carlsen,2872,1,Aronian,2809,3,8,Draw
2013,Grischuk,2764,10,Ivanchuk,2757,13,8,White
2013,Kramnik,2810,2,Svidler,2747,14,8,White
2013,Radjabov,2793,4,Gelfand,2740,18,8,Black
2013,Gelfand,2740,18,Aronian,2809,3,9,White
2013,Ivanchuk,2757,13,Radjabov,2793,4,9,White
2013,Kramnik,2810,2,Carlsen,2872,1,9,Draw
2013,Svidler,2747,14,Grischuk,2764,10,9,Draw
2013,Aronian,2809,3,Ivanchuk,2757,13,10,White
2013,Carlsen,2872,1,Gelfand,2740,18,10,White
2013,Grischuk,2764,10,Kramnik,2810,2,10,Black
2013,Radjabov,2793,4,Svidler,2747,14,10,Draw
2013,Grischuk,2764,10,Carlsen,2872,1,11,Draw
2013,Ivanchuk,2757,13,Gelfand,2740,18,11,Draw
2013,Kramnik,2810,2,Radjabov,2793,4,11,White
2013,Svidler,2747,14,Aronian,2809,3,11,White
2013,Aronian,2809,3,Kramnik,2810,2,12,Black
2013,Carlsen,2872,1,Ivanchuk,2757,13,12,Black
2013,Gelfand,2740,18,Svidler,2747,14,12,Draw
2013,Radjabov,2793,4,Grischuk,2764,10,12,Draw
2013,Grischuk,2764,10,Aronian,2809,3,13,Draw
2013,Kramnik,2810,2,Gelfand,2740,18,13,Draw
2013,Radjabov,2793,4,Carlsen,2872,1,13,Black
2013,Svidler,2747,14,Ivanchuk,2757,13,13,White
2013,Aronian,2809,3,Radjabov,2793,4,14,White
2013,Carlsen,2872,1,Svidler,2747,14,14,Black
2013,Gelfand,2740,18,Grischuk,2764,10,14,Draw
2013,Ivanchuk,2757,13,Kramnik,2810,2,14,White