year,player,rating,ranking,pathway
2026,Caruana,2795,3,circuit
2026,Giri,2753,8,swiss
2026,Bluebaum,2698,33,swiss
2026,Sindarov,2745,13,cup
2026,Yi,2754,7,cup
2026,Esipenko,2698,34,cup
2026,Praggnanandhaa,2741,14,circuit
2026,Nakamura,2810,2,rating
2024,Nepomniachtchi,2758,7,runnerup
2024,Praggnanandhaa,2747,14,cup
2024,Caruana,2803,2,cup
2024,Abasov,2632,114,cup
2024,Gujrathi,2727,25,swiss
2024,Nakamura,2789,3,swiss
2024,Dommaraju,2743,16,circuit
2024,Firouzja,2760,6,rating
2022,Nepomniachtchi,2766,7,runnerup
2022,Radjabov,2753,13,wildcard
2022,Duda,2750,16,cup
2022,Firouzja,2793,3,swiss
2022,Caruana,2783,4,swiss
2022,Nakamura,2760,11,prix
2022,Rapport,2764,8,prix
2022,Liren,2806,2,replace
2020,Caruana,2842,2,runnerup
2020,Liren,2805,3,cup
2020,Hao,2762,12,swiss
2020,Grischuk,2777,4,prix
2020,Nepomniachtchi,2774,5,prix
2020,Giri,2763,11,rating
2020,Vachier-Lagrave,2767,8,replace
2020,Alekseenko,2698,39,wildcard
2018,Karjakin,2763,13,runnerup
2018,Aronian,2794,5,cup
2018,Liren,2769,11,cup
2018,Mamedyarov,2809,2,prix
2018,Grischuk,2767,12,prix
2018,Caruana,2784,8,rating
2018,So,2799,4,rating
2018,Kramnik,2800,3,wildcard
2016,Anand,2762,12,runnerup
2016,Karjakin,2760,13,cup
2016,Svidler,2757,16,cup
2016,Caruana,2794,3,prix
2016,Nakamura,2790,6,prix
2016,Topalov,2780,8,rating
2016,Giri,2793,4,rating
2016,Aronian,2786,7,wildcard
2014,Anand,2770,8,runnerup
2014,Kramnik,2787,3,cup
2014,Andreikin,2709,42,cup
2014,Topalov,2785,4,prix
2014,Mamedyarov,2757,13,prix
2014,Aronian,2830,2,rating
2014,Karjakin,2766,9,rating
2014,Svidler,2758,11,wildcard
2013,Svidler,2747,14,cup
2013,Grischuk,2764,10,cup
2013,Ivanchuk,2757,13,cup
2013,Carlsen,2872,1,rating
2013,Aronian,2809,3,rating
2013,Kramnik,2810,2,rating
2013,Radjabov,2793,4,wildcard
2013,Gelfand,2740,18,runnerup